법정동코드,법정동명,위도,경도
1114012200,서울특별시 중구 회현동2가,37.558033,126.983443
1114012300,서울특별시 중구 회현동3가,37.56006,126.984082
1114012400,서울특별시 중구 충무로1가,37.561279,126.98343
1114012500,서울특별시 중구 충무로2가,37.561903,126.987942
1114012600,서울특별시 중구 명동1가,37.564135,126.984148
1114012700,서울특별시 중구 명동2가,37.56288,126.984505
1114012800,서울특별시 중구 남산동1가,37.55926,126.984605
1114012900,서울특별시 중구 남산동2가,37.558534,126.985813
1114013000,서울특별시 중구 남산동3가,37.560392,126.987105
1114013100,서울특별시 중구 저동1가,37.564362,126.987314
1114013200,서울특별시 중구 충무로4가,37.562463,126.995255
1114013300,서울특별시 중구 충무로5가,37.562923,126.999921
1114013400,서울특별시 중구 인현동2가,37.56378,126.995779
1114013500,서울특별시 중구 예관동,37.564357,126.99822
1114013600,서울특별시 중구 묵정동,37.561401,127.000871
1114013700,서울특별시 중구 필동1가,37.560992,126.992264
1114013800,서울특별시 중구 필동2가,37.55896,126.995427
1114013900,서울특별시 중구 필동3가,37.559069,126.997152
1114014000,서울특별시 중구 남학동,37.56041,126.99086
1114014100,서울특별시 중구 주자동,37.560755,126.98985
1114014200,서울특별시 중구 예장동,37.557397,126.990492
1114014300,서울특별시 중구 장충동1가,37.561397,127.007583
1114014400,서울특별시 중구 장충동2가,37.55991,127.00256
1114014500,서울특별시 중구 광희동1가,37.565194,127.005069
1114014600,서울특별시 중구 광희동2가,37.563799,127.008655
1114014700,서울특별시 중구 쌍림동,37.563176,127.004625
1114014800,서울특별시 중구 을지로6가,37.566868,127.00631
1114014900,서울특별시 중구 을지로7가,37.565117,127.009288
1114015000,서울특별시 중구 을지로4가,37.566587,126.998139
1114015100,서울특별시 중구 을지로5가,37.566455,127.001862
1114015200,서울특별시 중구 주교동,37.568136,126.999252
1114015300,서울특별시 중구 방산동,37.568469,127.001903
1114015400,서울특별시 중구 오장동,37.564685,127.0007
1114015500,서울특별시 중구 을지로3가,37.566292,126.992337
1114015600,서울특별시 중구 입정동,37.567709,126.993042
1114015700,서울특별시 중구 산림동,37.567564,126.996085
1114015800,서울특별시 중구 충무로3가,37.562676,126.991874
1114015900,서울특별시 중구 초동,37.564226,126.992375
1114016000,서울특별시 중구 인현동1가,37.564472,126.994232
1114016100,서울특별시 중구 저동2가,37.564385,126.990257
1114016200,서울특별시 중구 신당동,37.559441,127.013427
1114016300,서울특별시 중구 흥인동,37.566792,127.016839
1114016400,서울특별시 중구 무학동,37.564149,127.015091
1114016500,서울특별시 중구 황학동,37.56794,127.020367
1114016600,서울특별시 중구 서소문동,37.563075,126.974142
1114016700,서울특별시 중구 정동,37.566905,126.972078
1114016800,서울특별시 중구 순화동,37.562471,126.970566
1114016900,서울특별시 중구 의주로1가,37.564783,126.968176
1114017000,서울특별시 중구 충정로1가,37.567411,126.968642
1114017100,서울특별시 중구 중림동,37.558715,126.96584
1114017200,서울특별시 중구 의주로2가,37.559382,126.969985
1114017300,서울특별시 중구 만리동1가,37.556408,126.967319
1114017400,서울특별시 중구 만리동2가,37.553986,126.96415
1117010100,서울특별시 용산구 후암동,37.549171,126.978938
1117010200,서울특별시 용산구 용산동2가,37.544184,126.98511
1117010300,서울특별시 용산구 용산동4가,37.534964,126.986876
1117010400,서울특별시 용산구 갈월동,37.546267,126.972941
1117010500,서울특별시 용산구 남영동,37.542934,126.97341
1117010600,서울특별시 용산구 용산동1가,37.534968,126.977282
1117010700,서울특별시 용산구 동자동,37.551535,126.974137
1117010800,서울특별시 용산구 서계동,37.552113,126.966089
1117010900,서울특별시 용산구 청파동1가,37.54887,126.967046
1117011000,서울특별시 용산구 청파동2가,37.546067,126.967745
1117011100,서울특별시 용산구 청파동3가,37.543407,126.968276
1117011200,서울특별시 용산구 원효로1가,37.539977,126.966998
1117011300,서울특별시 용산구 원효로2가,37.536307,126.963165
1117011400,서울특별시 용산구 신창동,37.53573,126.955199
1117011500,서울특별시 용산구 산천동,37.535428,126.952396
1117011600,서울특별시 용산구 청암동,37.53504,126.9465
1117011700,서울특별시 용산구 원효로3가,37.53414,126.956862
1117011800,서울특별시 용산구 원효로4가,37.533504,126.952763
1117011900,서울특별시 용산구 효창동,37.543291,126.961214
1117012000,서울특별시 용산구 도원동,37.539188,126.95794
1117012100,서울특별시 용산구 용문동,37.537571,126.959936
1117012200,서울특별시 용산구 문배동,37.536423,126.969346
1117012300,서울특별시 용산구 신계동,37.534581,126.964922
1117012400,서울특별시 용산구 한강로1가,37.534384,126.973765
1117012500,서울특별시 용산구 한강로2가,37.531715,126.970242
1117012600,서울특별시 용산구 용산동3가,37.533189,126.974319
1117012700,서울특별시 용산구 용산동5가,37.527123,126.97083
1117012800,서울특별시 용산구 한강로3가,37.524659,126.963299
1117012900,서울특별시 용산구 이촌동,37.524133,126.961987
1117013000,서울특별시 용산구 이태원동,37.5367,126.992151
1117013100,서울특별시 용산구 한남동,37.533889,127.003955
1117013200,서울특별시 용산구 동빙고동,37.523599,126.995949
1117013300,서울특별시 용산구 서빙고동,37.521042,126.993023
1117013400,서울특별시 용산구 주성동,37.522591,126.998382
1117013500,서울특별시 용산구 용산동6가,37.51915,126.983164
1117013600,서울특별시 용산구 보광동,37.528858,126.999766
1120010100,서울특별시 성동구 상왕십리동,37.569332,127.025349
1120010200,서울특별시 성동구 하왕십리동,37.562462,127.029586
1120010300,서울특별시 성동구 홍익동,37.566144,127.032921
1120010400,서울특별시 성동구 도선동,37.563897,127.033258
1120010500,서울특별시 성동구 마장동,37.567305,127.039084
1120010600,서울특별시 성동구 사근동,37.561371,127.046789
1120010700,서울특별시 성동구 행당동,37.559076,127.035869
1120010800,서울특별시 성동구 응봉동,37.551169,127.031462
1120010900,서울특별시 성동구 금호동1가,37.554697,127.023412
1120011000,서울특별시 성동구 금호동2가,37.552482,127.020133
1120011100,서울특별시 성동구 금호동3가,37.549504,127.021812
1120011200,서울특별시 성동구 금호동4가,37.547468,127.02006
1120011300,서울특별시 성동구 옥수동,37.542764,127.014662
1120011400,서울특별시 성동구 성수동1가,37.544661,127.046772
1120011500,서울특별시 성동구 성수동2가,37.541123,127.056125
1120011800,서울특별시 성동구 송정동,37.552124,127.067652
1120012200,서울특별시 성동구 용답동,37.564354,127.052795
1121510100,서울특별시 광진구 중곡동,37.561882,127.084745
1121510200,서울특별시 광진구 능동,37.553729,127.082381
1121510300,서울특별시 광진구 구의동,37.544655,127.089493
1121510400,서울특별시 광진구 광장동,37.546992,127.103926
1121510500,서울특별시 광진구 자양동,37.534692,127.074327
1121510700,서울특별시 광진구 화양동,37.544427,127.070047
1121510900,서울특별시 광진구 군자동,37.553878,127.073516
1123010100,서울특별시 동대문구 신설동,37.575204,127.026023
1123010200,서울특별시 동대문구 용두동,37.576328,127.034621
1123010300,서울특별시 동대문구 제기동,37.584134,127.03796
1123010400,서울특별시 동대문구 전농동,37.579797,127.053848
1123010500,서울특별시 동대문구 답십리동,37.569883,127.056757
1123010600,서울특별시 동대문구 장안동,37.570749,127.068233
1123010700,서울특별시 동대문구 청량리동,37.586643,127.044621
1123010800,서울특별시 동대문구 회기동,37.591447,127.051971
1123010900,서울특별시 동대문구 휘경동,37.589592,127.061228
1123011000,서울특별시 동대문구 이문동,37.598851,127.062465
1126010100,서울특별시 중랑구 면목동,37.58442,127.086487
1126010200,서울특별시 중랑구 상봉동,37.596267,127.085704
1126010300,서울특별시 중랑구 중화동,37.59975,127.077718
1126010400,서울특별시 중랑구 묵동,37.611266,127.077829
1126010500,서울특별시 중랑구 망우동,37.596678,127.100419
1126010600,서울특별시 중랑구 신내동,37.607237,127.098924
1129010100,서울특별시 성북구 성북동,37.594567,126.997514
1129010200,서울특별시 성북구 성북동1가,37.589374,127.003652
1129010300,서울특별시 성북구 돈암동,37.598415,127.020288
1129010400,서울특별시 성북구 동소문동1가,37.589858,127.00746
1129010500,서울특별시 성북구 동소문동2가,37.588696,127.008412
1129010600,서울특별시 성북구 동소문동3가,37.590052,127.010816
1129010700,서울특별시 성북구 동소문동4가,37.591541,127.010756
1129010800,서울특별시 성북구 동소문동5가,37.591666,127.01559
1129010900,서울특별시 성북구 동소문동6가,37.59377,127.014858
1129011000,서울특별시 성북구 동소문동7가,37.596303,127.014721
1129011100,서울특별시 성북구 삼선동1가,37.585059,127.007942
1129011200,서울특별시 성북구 삼선동2가,37.585259,127.010538
1129011300,서울특별시 성북구 삼선동3가,37.586298,127.012802
1129011400,서울특별시 성북구 삼선동4가,37.589818,127.013135
1129011500,서울특별시 성북구 삼선동5가,37.58825,127.015789
1129011600,서울특별시 성북구 동선동1가,37.592065,127.01826
1129011700,서울특별시 성북구 동선동2가,37.590091,127.020053
1129011800,서울특별시 성북구 동선동3가,37.594108,127.020597
1129011900,서울특별시 성북구 동선동4가,37.595087,127.018541
1129012000,서울특별시 성북구 동선동5가,37.596185,127.016726
1129012100,서울특별시 성북구 안암동1가,37.588393,127.021456
1129012200,서울특별시 성북구 안암동2가,37.586638,127.022973
1129012300,서울특별시 성북구 안암동3가,37.583915,127.02328
1129012400,서울특별시 성북구 안암동4가,37.580811,127.024633
1129012500,서울특별시 성북구 안암동5가,37.586083,127.029493
1129012600,서울특별시 성북구 보문동4가,37.582645,127.021437
1129012700,서울특별시 성북구 보문동5가,37.582359,127.019936
1129012800,서울특별시 성북구 보문동6가,37.580444,127.019694
1129012900,서울특별시 성북구 보문동7가,37.580033,127.02182
1129013000,서울특별시 성북구 보문동1가,37.586226,127.019779
1129013100,서울특별시 성북구 보문동2가,37.585602,127.018306
1129013200,서울특별시 성북구 보문동3가,37.584277,127.017551
1129013300,서울특별시 성북구 정릉동,37.608442,127.008288
1129013400,서울특별시 성북구 길음동,37.607316,127.02476
1129013500,서울특별시 성북구 종암동,37.597405,127.035032
1129013600,서울특별시 성북구 하월곡동,37.605662,127.035753
1129013700,서울특별시 성북구 상월곡동,37.606723,127.048393
1129013800,서울특별시 성북구 장위동,37.614232,127.050118
1129013900,서울특별시 성북구 석관동,37.608823,127.060712
